"Id","IdString","Name","Lim","Rarity","Collection","Energy","Power","EffectDescription","Effect","CombosWithTODO"
"1","OMA001","Sea Otter","0","Common","Ocean Mammals","7","58","NULL","NULL","[]"
"2","OMA002","Polar Bear","0","Epic","Ocean Mammals","7","70","When played, if you are winning the round, this card has +34 Power.","[TriggerTime:PLAY] [Condition:ROUND_STATE, Value:Win] [Effect:POWER, Value:+34] [Target:THIS] [Duration:END_TURN] ","[]"
"3","OMA003","Elephant Seal","0","Common","Ocean Mammals","8","71","NULL","NULL","[]"
"4","OMA004","Bottlenose Dolphin","0","Rare","Ocean Mammals","7","52","When drawn, reduce the energy cost of Ocean Mammals in your hand by 2 for the rest of the game.","[TriggerTime:DRAW] [Effect:ENERGY, Value:-2] [Target:(Ocean Mammals in your hand)] [Duration:PERMANENT]","[Ocean Mammals]"
"5","OMA005","Beluga Whale","0","Common","Ocean Mammals","2","7","When played, all Oceans & Seas cards have +10 Power this turn.","[TriggerTime:PLAY] [Target:[Who:BOTH, Where:CARDS_IN_HAND, CompareTo:(Oceans & Seas)]] [Effect:POWER, Value:+10] [Duration:END_TURN] ","[]"
"6","OMA006","Leopard Seal","0","Common","Ocean Mammals","4","36","NULL","NULL","[]"
"7","OMA007","Sperm Whale","0","Rare","Ocean Mammals","1","5","When returned to your deck, if you are losing the round, gain +4 Energy.","[TriggerTime:RETURN] [Condition:ROUND_STATE, Value:Loss] [Target:SELF] [Effect:ENERGY, Value:+4]","[]"
"8","OMA008","Spotted Dolphin","0","Common","Ocean Mammals","8","68","NULL","NULL","[]"
"9","OMA009","Orca","0","Legendary","Ocean Mammals","4","74","When played, all Oceans & Seas cards have -20 Power this turn.","[TriggerTime:PLAY] [Target:[Who:BOTH, Where:CARDS_IN_HAND, CompareTo:(Oceans & Seas)]] [Effect:POWER, Value:-20] [Duration:END_TURN] ","[]"
"10","OMA010","West Indian Manatee","0","Common","Ocean Mammals","4","35","NULL","NULL","[]"
"11","OMA011","Pilot Whale","0","Common","Ocean Mammals","3","26","NULL","NULL","[]"
"12","OMA012","Sea Lion","0","Common","Ocean Mammals","10","84","NULL","NULL","[]"
"13","OMA013","Atlantic Walrus","0","Common","Ocean Mammals","3","24","NULL","NULL","[]"
"14","OMA014","Dugong","0","Common","Ocean Mammals","6","54","When drawn, reduce the energy cost of Ancient Greece cards in your hand by 2 for the rest of the game.","[TriggerTime:DRAW] [Effect:ENERGY, Value:-2] [Target:(Ancient Greece cards in your hand)] [Duration:PERMANENT]","[Ancient Greece]"
"15","OMA016","Vaquita","0","Rare","Ocean Mammals","5","48","When played on the first turn of a round, this card has +20 Power.","[TriggerTime:PLAY] [Condition:TURN_IN_ROUND, Value:1] [Effect:POWER, Value:+20] [Target:THIS] [Duration:END_TURN] ","[]"
"16","OMA019","Pacific Walrus","0","Legendary","Ocean Mammals","7","40","When this returns to your deck, if you won this turn, gain +100 Power next turn.","[TriggerTime:RETURN] [Condition:TURN_STATE, Value:(won)] [Effect:POWER_PER_TURN, Value:+100] [Target:[Who:SELF]] [Duration:TIMER, Value:1]","[]"
"17","OMA020","Harp Seal","0","Epic","Ocean Mammals","3","27","When returned to your deck, if you won the turn, gain +2 Energy next turn.","[TriggerTime:RETURN] [Condition:TURN_STATE, Value:(won)] [Target:SELF] [Effect:ENERGY, Value:+2] [Duration:TIMER, Value:1]","[]"
